204;布;CLOTH ・ SPREAD
205;市;CITY ・ MARKET
206;吊;HANG
207;泉;SPRING
208;原;PLAIN ・ ORIGINAL
209;源;SOURCE
210;線;LINE
211;綿;COTTON
212;絹;SILK
213;錦;BROCADE
214;願;WISH ・ ASK A FAVOR
215;内;INSIDE
216;肉;FLESH
217;猪;WILD BOAR
218;豚;PIG
219;家;HOUSE ・ FAMILY
220;吾;EGO
221;我;SELF
222;語;WORD ・ LANGUAGE ・ TELL
223;伝;TRANSMIT
224;転;TURN
225;芸;ART
226;会;MEET ・ SOCIETY
227;合;COMBINE ・ FIT
228;今;PRESENT ・ THIS
229;令;COMMAND
230;念;THOUGHTS
231;印;SEAL
232;命;ORDER ・ LIFE ・ FATE
233;亡;DECEASED
234;米;RICE ・ AMERICA
235;粒;GRAIN
236;和;HARMONIOUS ・ PEACE ・ JAPAN
237;私;PRIVATE ・ I
238;広;WIDE
239;細;SLENDER ・ MINUTE
240;林;FOREST
241;森;THICK WOODS
242;松;PINE
243;竹;BAMBOO
244;都;METROPOLIS ・ METROPOLIS OF TOKYO
245;京;CAPITAL ・ TOKYO ・ KYOTO
246;政;POLITICAL ADMINISTRATION
247;府;URBAN PREFECTURE ・ GOVERNMENT OFFICE
248;戸;DOOR ・ HOUSEHOLD
249;所;PLACE ・ PARTICLE OF NOMINALIZATION
250;至;COME TO
251;致;BRING ABOUT ・ DO HUMBLY
252;屋;HOUSE ・ SMALL SHOP
253;室;ROOM
254;古;OLD
255;居;BE PRESENT ・ RESIDE
256;局;BUREAU ・ LIMITED PART ・ SITUATION
257;故;OLD ・ INCIDENT ・ REASON
258;胡;NATIVES OF ANCIENT CHINA
259;湖;LAKE
260;固;SOLID ・ FIRM
261;箇;COUNTER FOR ITEMS
262;個;INDIVIDUAL ・ GENERAL COUNTER
263;且;AS WELL AS
264;組;ORGANIZE ・ ASSEMBLE
265;夕;EVENING
266;外;OUTSIDE
267;多;MANY
268;汐;(EVENING) TIDE
269;名;NAME
270;天;HEAVEN
271;未;NOT YET
272;末;LAST PART
273;味;TASTE
274;来;COME
275;新;NEW
276;親;PARENT ・ RELATIVES ・ INTIMATE
277;欠;LACK
278;次;NEXT
279;席;SEAT
280;度;DEGREE ・ TIME
281;渡;CROSS
282;限;LIMIT
283;銀;SILVER
284;根;ROOT
285;良;GOOD
286;郎;YOUNG MAN ・ MALE NAME SUFFIX
287;廊;CORRIDOR
